"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 2446",https://www.congress.gov/bill/114th-congress/senate-bill/2446,"114th Congress (2015-2016)",,"Improving Coal Combustion Residuals Regulation Act of 2016","Sen. Hoeven, John [R-ND]",01/19/2016,,,,2,"Senate - Environment and Public Works",03/02/2016,"Committee on Environment and Public Works. Hearings held. Hearings printed: S.Hrg. 114-349."
"S. 2399",https://www.congress.gov/bill/114th-congress/senate-bill/2399,"114th Congress (2015-2016)",,"Climate Protection and Justice Act of 2015","Sen. Sanders, Bernard [I-VT]",12/10/2015,,,,0,"Senate - Finance",12/10/2015,"Read twice and referred to the Committee on Finance."
"S. 2358",https://www.congress.gov/bill/114th-congress/senate-bill/2358,"114th Congress (2015-2016)",,"Clean Water Compliance and Affordability Act","Sen. Brown, Sherrod [D-OH]",12/03/2015,,,,2,"Senate - Environment and Public Works",12/03/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2335",https://www.congress.gov/bill/114th-congress/senate-bill/2335,"114th Congress (2015-2016)",,"Beach Act of 2015","Sen. Menendez, Robert [D-NJ]",12/01/2015,,,,0,"Senate - Environment and Public Works",12/01/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2306",https://www.congress.gov/bill/114th-congress/senate-bill/2306,"114th Congress (2015-2016)",,"A bill to require the Secretary of the Army, acting through the Chief of Engineers, to undertake remediation oversight of the West Lake Landfill located in Bridgeton, Missouri.","Sen. Blunt, Roy [R-MO]",11/19/2015,,,,1,"House - Energy and Commerce, Transportation and Infrastructure | Senate - Environment and Public Works",02/05/2016,"Referred to the Subcommittee on Environment and the Economy."
"S. 2135",https://www.congress.gov/bill/114th-congress/senate-bill/2135,"114th Congress (2015-2016)",,"A bill to address the liability of the Environmental Protection Agency relating to the Animas and San Juan Rivers spill.","Sen. Cotton, Tom [R-AR]",10/05/2015,,,,0,"Senate - Judiciary",10/05/2015,"Read twice and referred to the Committee on the Judiciary."
"S. 2076",https://www.congress.gov/bill/114th-congress/senate-bill/2076,"114th Congress (2015-2016)",,"Super Pollutants Act of 2015","Sen. Murphy, Christopher [D-CT]",09/24/2015,,,,1,"Senate - Environment and Public Works",09/24/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 2072",https://www.congress.gov/bill/114th-congress/senate-bill/2072,"114th Congress (2015-2016)",,"A bill to require the Administrator of the Environmental Protection Agency to establish a program under which the Administrator shall defer the designation of an area as a nonattainment area for purposes of the 8-hour ozone national ambient air quality standard if the area achieves and maintains certain standards under a voluntary early action compact plan.","Sen. Hatch, Orrin G. [R-UT]",09/24/2015,,,,4,"Senate - Environment and Public Works",06/22/2016,"Committee on Environment and Public Works Senate Subcommittee on Clean Air and Nuclear Safety. Hearings held. With printed Hearing: S.Hrg. 114-363."
"S. 2063",https://www.congress.gov/bill/114th-congress/senate-bill/2063,"114th Congress (2015-2016)",,"Gold King Mine Spill Recovery Act of 2015","Sen. Udall, Tom [D-NM]",09/22/2015,,,,2,"Senate - Judiciary",09/22/2015,"Read twice and referred to the Committee on the Judiciary."
"S. 1999",https://www.congress.gov/bill/114th-congress/senate-bill/1999,"114th Congress (2015-2016)",,"Caribbean Oil Spill Intervention, Prevention, and Preparedness Act","Sen. Nelson, Bill [D-FL]",08/05/2015,,,,0,"Senate - Commerce, Science, and Transportation",08/05/2015,"Read twice and referred to the Committee on Commerce, Science, and Transportation. (Sponsor introductory remarks on measure: CR S6391-6392)"
"S. 1987",https://www.congress.gov/bill/114th-congress/senate-bill/1987,"114th Congress (2015-2016)",,"Lead Exposure Reduction Amendments Act of 2015","Sen. Inhofe, James M. [R-OK]",08/05/2015,,,,3,"Senate - Environment and Public Works",08/05/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1953",https://www.congress.gov/bill/114th-congress/senate-bill/1953,"114th Congress (2015-2016)",,"TRASH Act","Sen. Casey, Robert P., Jr. [D-PA]",08/05/2015,,,,0,"Senate - Environment and Public Works",08/05/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1918",https://www.congress.gov/bill/114th-congress/senate-bill/1918,"114th Congress (2015-2016)",,"Conserving Ecosystems by Ceasing the Importation of Large (CECIL) Animal Trophies Act","Sen. Menendez, Robert [D-NJ]",08/03/2015,,,,7,"Senate - Environment and Public Works",08/03/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1914",https://www.congress.gov/bill/114th-congress/senate-bill/1914,"114th Congress (2015-2016)",,"Commonsense Permitting for Job Creation Act of 2015","Sen. Kaine, Tim [D-VA]",07/30/2015,,,,1,"Senate - Environment and Public Works",07/30/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1803",https://www.congress.gov/bill/114th-congress/senate-bill/1803,"114th Congress (2015-2016)",,"Improving Coal Combustion Residuals Regulation Act of 2015","Sen. Hoeven, John [R-ND]",07/16/2015,,,,1,"Senate - Environment and Public Works",07/16/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1724",https://www.congress.gov/bill/114th-congress/senate-bill/1724,"114th Congress (2015-2016)",,"Lake Tahoe Restoration Act of 2015","Sen. Heller, Dean [R-NV]",07/09/2015,,,,3,"Senate - Environment and Public Works",05/18/2016,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 470."
"S. 1701",https://www.congress.gov/bill/114th-congress/senate-bill/1701,"114th Congress (2015-2016)",,"Infrastructure Rehabilitation Act of 2015","Sen. Murkowski, Lisa [R-AK]",06/25/2015,,,,0,"Senate - Environment and Public Works",06/25/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1700",https://www.congress.gov/bill/114th-congress/senate-bill/1700,"114th Congress (2015-2016)",,"Mitigation Facilitation Act of 2015","Sen. Murkowski, Lisa [R-AK]",06/25/2015,,,,0,"Senate - Environment and Public Works",06/25/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1674",https://www.congress.gov/bill/114th-congress/senate-bill/1674,"114th Congress (2015-2016)",,"Long Island Sound Restoration and Stewardship Act","Sen. Gillibrand, Kirsten E. [D-NY]",06/24/2015,,,,3,"Senate - Environment and Public Works",02/24/2016,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 373."
"S. 1642",https://www.congress.gov/bill/114th-congress/senate-bill/1642,"114th Congress (2015-2016)",,"Savings Act","Sen. Boozman, John [R-AR]",06/22/2015,,,,3,"Senate - Environment and Public Works",06/22/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1601",https://www.congress.gov/bill/114th-congress/senate-bill/1601,"114th Congress (2015-2016)",,"SAFE Act","Sen. Whitehouse, Sheldon [D-RI]",06/17/2015,,,,0,"Senate - Environment and Public Works",06/17/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1586",https://www.congress.gov/bill/114th-congress/senate-bill/1586,"114th Congress (2015-2016)",,"Great Lakes Water Protection Act","Sen. Kirk, Mark Steven [R-IL]",06/16/2015,,,,0,"Senate - Environment and Public Works",06/16/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1584",https://www.congress.gov/bill/114th-congress/senate-bill/1584,"114th Congress (2015-2016)",,"Renewable Fuel Standard Repeal Act","Sen. Cassidy, Bill [R-LA]",06/16/2015,,,,4,"Senate - Environment and Public Works",06/16/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1554",https://www.congress.gov/bill/114th-congress/senate-bill/1554,"114th Congress (2015-2016)",,"FRESHER Act of 2015","Sen. Cardin, Benjamin L. [D-MD]",06/11/2015,,,,5,"Senate - Environment and Public Works",06/11/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1523",https://www.congress.gov/bill/114th-congress/senate-bill/1523,"114th Congress (2015-2016)",,"A bill to amend the Federal Water Pollution Control Act to reauthorize the National Estuary Program, and for other purposes.","Sen. Whitehouse, Sheldon [D-RI]",06/08/2015,,,,2,"Senate - Environment and Public Works",05/20/2016,"Became Public Law No: 114-162."
"S. 1500",https://www.congress.gov/bill/114th-congress/senate-bill/1500,"114th Congress (2015-2016)",,"Sensible Environmental Protection Act of 2015","Sen. Crapo, Mike [R-ID]",06/03/2015,,,,21,"Senate - Environment and Public Works",10/29/2015,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 284."
"S. 1479",https://www.congress.gov/bill/114th-congress/senate-bill/1479,"114th Congress (2015-2016)",,"BUILD Act","Sen. Inhofe, James M. [R-OK]",06/02/2015,,,,11,"House - Energy and Commerce, Transportation and Infrastructure | Senate - Environment and Public Works",07/01/2016,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"S. 1458",https://www.congress.gov/bill/114th-congress/senate-bill/1458,"114th Congress (2015-2016)",,"STREAM Act of 2015","Sen. Coats, Daniel [R-IN]",05/22/2015,,,,22,"Senate - Energy and Natural Resources",05/22/2015,"Read twice and referred to the Committee on Energy and Natural Resources."
"S. 1430",https://www.congress.gov/bill/114th-congress/senate-bill/1430,"114th Congress (2015-2016)",,"Marine Oil Spill Prevention Act","Sen. Nelson, Bill [D-FL]",05/21/2015,,,,1,"Senate - Commerce, Science, and Transportation",05/21/2015,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
"S. 1425",https://www.congress.gov/bill/114th-congress/senate-bill/1425,"114th Congress (2015-2016)",,"Promoting New Manufacturing Act","Sen. Capito, Shelley Moore [R-WV]",05/21/2015,,,,0,"Senate - Environment and Public Works",05/21/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1394",https://www.congress.gov/bill/114th-congress/senate-bill/1394,"114th Congress (2015-2016)",,"Columbia River Basin Restoration Act of 2015","Sen. Merkley, Jeff [D-OR]",05/20/2015,,,,2,"Senate - Environment and Public Works",05/20/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1393",https://www.congress.gov/bill/114th-congress/senate-bill/1393,"114th Congress (2015-2016)",,"REPAIR Act","Sen. Thune, John [R-SD]",05/20/2015,,,,9,"Senate - Environment and Public Works",05/20/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1324",https://www.congress.gov/bill/114th-congress/senate-bill/1324,"114th Congress (2015-2016)",,"Affordable Reliable Electricity Now Act of 2015","Sen. Capito, Shelley Moore [R-WV]",05/13/2015,,,,35,"Senate - Environment and Public Works",10/29/2015,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 283."
"S. 1284",https://www.congress.gov/bill/114th-congress/senate-bill/1284,"114th Congress (2015-2016)",,"A bill to clarify the treatment of carbon emissions from forest biomass, and for other purposes.","Sen. King, Angus S., Jr. [I-ME]",05/11/2015,,,,0,"Senate - Environment and Public Works",05/11/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1239",https://www.congress.gov/bill/114th-congress/senate-bill/1239,"114th Congress (2015-2016)",,"A bill to amend the Clean Air Act with respect to the ethanol waiver for the Reid vapor pressure limitations under that Act.","Sen. Donnelly, Joe [D-IN]",05/07/2015,,,,17,"Senate - Environment and Public Works",05/07/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1178",https://www.congress.gov/bill/114th-congress/senate-bill/1178,"114th Congress (2015-2016)",,"Defending Rivers from Overreaching Policies Act of 2015","Sen. Flake, Jeff [R-AZ]",04/30/2015,,,,6,"Senate - Environment and Public Works",06/10/2015,"Committee on the Judiciary. Hearings held."
"S. 1142",https://www.congress.gov/bill/114th-congress/senate-bill/1142,"114th Congress (2015-2016)",,"Native Species Protection Act","Sen. Lee, Mike [R-UT]",04/30/2015,,,,4,"Senate - Environment and Public Works",04/30/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 1140",https://www.congress.gov/bill/114th-congress/senate-bill/1140,"114th Congress (2015-2016)",,"Federal Water Quality Protection Act","Sen. Barrasso, John [R-WY]",04/30/2015,,,,47,"Senate - Environment and Public Works",11/03/2015,"Motion to proceed to consideration of measure withdrawn in Senate."
"S. 1036",https://www.congress.gov/bill/114th-congress/senate-bill/1036,"114th Congress (2015-2016)",,"Sage-Grouse Protection and Conservation Act","Sen. Gardner, Cory [R-CO]",04/22/2015,,,,8,"Senate - Environment and Public Works",05/06/2015,"Committee on Environment and Public Works. Hearings held."
"S. 1024",https://www.congress.gov/bill/114th-congress/senate-bill/1024,"114th Congress (2015-2016)",,"Great Lakes Restoration Initiative Act of 2016","Sen. Kirk, Mark Steven [R-IL]",04/21/2015,,,,1,"Senate - Environment and Public Works",02/24/2016,"Placed on Senate Legislative Calendar under General Orders. Calendar No. 372."
"S. 1019",https://www.congress.gov/bill/114th-congress/senate-bill/1019,"114th Congress (2015-2016)",,"Freedom from Over-Criminalization and Unjust Seizures Act of 2015","Sen. Paul, Rand [R-KY]",04/21/2015,,,,2,"Senate - Environment and Public Works",04/21/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 980",https://www.congress.gov/bill/114th-congress/senate-bill/980,"114th Congress (2015-2016)",,"Defense of Environment and Property Act of 2015","Sen. Paul, Rand [R-KY]",04/16/2015,,,,6,"Senate - Environment and Public Works",04/16/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 896",https://www.congress.gov/bill/114th-congress/senate-bill/896,"114th Congress (2015-2016)",,"Innovative Stormwater Infrastructure Act of 2015","Sen. Udall, Tom [D-NM]",04/13/2015,,,,1,"Senate - Environment and Public Works",04/13/2015,"Read twice and referred to the Committee on Environment and Public Works."
"S. 889",https://www.congress.gov/bill/114th-congress/senate-bill/889,"114th Congress (2015-2016)",,"Fuel Choice and Deregulation Act of 2015","Sen. Paul, Rand [R-KY]",03/26/2015,,,,3,"Senate - Finance",03/26/2015,"Read twice and referred to the Committee on Finance."
"S. 855",https://www.congress.gov/bill/114th-congress/senate-bill/855,"114th Congress (2015-2016)",,"Endangered Species Management Self-Determination Act","Sen. Paul, Rand [R-KY]",03/24/2015,,,,1,"Senate - Environment and Public Works",05/06/2015,"Committee on Environment and Public Works. Hearings held."
"S. 785",https://www.congress.gov/bill/114th-congress/senate-bill/785,"114th Congress (2015-2016)",,"FRAC Act","Sen. Casey, Robert P., Jr. [D-PA]",03/18/2015,,,,12,"Senate - Environment and Public Works",03/18/2015,"Read twice and referred to the Committee on Environment and Public Works."
